size;BS;HS;CS;SHS
5000;94,6;0;0;3
10000;402,6;0;0;3
15000;915,2;6,2;0;4,8
20000;1665,2;3,2;0;3
25000;2625,2;8;0;3,2
30000;0;9,4;0;5
35000;0;9,6;0;9,4
40000;0;6,2;3,2;9,4
45000;0;12,4;0;15,6
50000;0;12,6;0;13,8
55000;0;12,4;0;15,6
60000;0;12,6;0;15,4
65000;0;16,8;0;18,6
70000;0;19,2;3;18,8
75000;0;15,8;3;20,2
80000;0;21,6;0;22
85000;0;22;4,2;25,2
90000;0;21,8;0;28,2
95000;0;26,2;3,2;25
100000;0;25;3;29,4
105000;0;31,2;0;31,4
110000;0;23;6,2;37,6
115000;0;31,2;0;45
120000;0;31,4;3;37,6
125000;0;31,2;0;37,6
130000;0;32,4;3,2;37,4
135000;0;32,8;0;43,6
140000;0;34,2;4,4;44
145000;0;31,6;3;44,8
150000;0;34,2;3;45
155000;0;40,6;6,4;51
160000;0;43,8;0;46,6
165000;0;44,8;0;49,8
170000;0;48,4;0;59,2
175000;0;48,2;0;54,6
180000;0;47;3,2;60,6
185000;0;47;3,2;56,2
190000;0;53,2;3,2;59,2
195000;0;56,4;0;65,6
200000;0;53;3,2;62,8
205000;0;49,6;6,4;65,6
210000;0;59,4;0;68,4
215000;0;62,4;3;65,4
220000;0;62,4;0;72
225000;0;62,4;3,2;78,2
230000;0;65,6;6,2;81
235000;0;62,4;6,4;81,4
240000;0;71,8;3;81,4
245000;0;72;0;81,2
250000;0;74,8;3,2;78,2
255000;0;75;9,2;78,4
260000;0;75;0;93,8
265000;0;71,6;0;93,8
270000;0;78;0;90,8
275000;0;78;9,2;93,8
280000;0;78;3,2;93,8
285000;0;78,2;3,2;93,8
290000;0;78,4;9,2;103,2
295000;0;90,4;0;137,4
300000;0;87,4;9,4;100
305000;0;94;6,2;103
310000;0;87,4;6,2;109,4
315000;0;90,6;6,2;112,4
320000;0;93,8;3;109,2
325000;0;90,6;6,4;112,6
330000;0;93,8;6,2;115,6
335000;0;100;0;119
340000;0;100;6,4;122,2
345000;0;103,2;9,4;124,8
350000;0;97;3;122
355000;0;109;6,4;125
360000;0;99,8;3,2;128,2
365000;0;112,6;3;124,8
370000;0;109,2;3,2;131,2
375000;0;112,6;6,2;128,2
380000;0;109,2;3,2;131,2
385000;0;115,4;0;147
390000;0;116;0;146,8
395000;0;112,4;0;156
400000;0;118,6;6,4;143,6
405000;0;112,4;0;137,6
410000;0;121,8;0;147
415000;0;118,8;6,2;143,6
420000;0;124,8;9,4;146,8
425000;0;125;6,4;156,2
430000;0;128,2;3;156,4
435000;0;128,2;3;153,4
440000;0;128;6,2;159,4
445000;0;131,2;6,4;159,2
450000;0;137,6;9,6;168,8
455000;0;140,8;9,4;171,8
460000;0;140,8;9,4;184,6
465000;0;140,8;15,8;171,6
470000;0;140,8;6;169
475000;0;140,8;12,6;184,2
480000;0;140,4;0;171,8
485000;0;140,8;3;175
490000;0;149,8;3;184,4
495000;0;143,6;0;181,2
500000;0;146,8;3,2;181,2
505000;0;156;12,6;187,6
510000;0;153;6,2;184,2
515000;0;153,2;6,2;196,8
520000;0;156,2;6,4;199,8
525000;0;156,2;0;243,8
530000;0;175,2;12,8;206
535000;0;168,8;12,4;203,4
540000;0;165,4;3;197
545000;0;162,6;6,2;200
550000;0;165,6;6,2;206,2
555000;0;171,4;9,6;221,6
560000;0;172;3,2;218,8
565000;0;171,4;3;215,4
570000;0;175;3,2;209,4
575000;0;171,6;9,4;218,6
580000;0;175,2;6,4;218,8
585000;0;177,8;6,2;225
590000;0;184,8;12,4;315,8
595000;0;187,4;9,4;221,6
600000;0;187,6;6,4;231,2
605000;0;187,8;6;225,2
610000;0;187,2;0;231,2
615000;0;190,2;6;237,6
620000;0;190,6;3;240,4
625000;0;193,6;3,2;237,8
630000;0;190,4;3,2;247
635000;0;200;12,8;240,8
640000;0;203,6;6,2;250
645000;0;203;16;250
650000;0;197;15,4;253
655000;0;203,2;3;268,8
660000;0;203,2;6,2;250
665000;0;206,2;6;253
670000;0;212,2;9,6;265,8
675000;0;215,6;6,2;262,6
680000;0;216;12,6;268,4
685000;0;215,4;9,6;275
690000;0;215,4;9,6;278
695000;0;219;6,2;272,2
700000;0;215,8;9,4;271,8
705000;0;265,8;9,4;287,6
710000;0;222;9,2;284,6
715000;0;228,4;6,2;290,6
720000;0;228,2;9,2;287,2
725000;0;225;15,4;306,4
730000;0;231,4;9,4;281
735000;0;231,4;9,2;293,6
740000;0;237,4;9,2;278,2
745000;0;234,2;12,4;290,6
750000;0;234,4;9,6;296,6
755000;0;240,6;9,4;306
760000;0;237,6;15,6;296,8
765000;0;243,6;9,2;293,8
770000;0;246,8;6,4;316
775000;0;243,8;9,6;309,8
780000;0;247;9,6;319,4
785000;0;250;9,4;318,8
790000;0;250;12,8;343
795000;0;250;6,4;315,2
800000;0;253;12,6;318,6
805000;0;259,6;3;312,6
810000;0;256,2;12,2;306,2
815000;0;265,4;9,4;337,8
820000;0;265,6;12,6;356
825000;0;262,4;9;331,2
830000;0;265,6;9,6;325
835000;0;265,6;15,6;343,8
840000;0;268,8;12,6;334,2
845000;0;268,4;12,6;334,4
850000;0;281,4;3,2;349,8
855000;0;274,8;12,8;359,6
860000;0;278;15,8;359,6
865000;0;271,4;12,2;350,4
870000;0;277,8;12,6;346,8
875000;0;281;12,8;356,6
880000;0;284,2;9,4;356,2
