size;HSd;MSd;QSd;HSa;MSa;QSa
5000;2;0;2;2;0;0
10000;2;0;0;2;0;0
15000;4;0;0;4;0;0
20000;7;2;0;6;2;0
25000;4;2;2;6;4;0
30000;9;3;1;9;2;3
35000;8;5;3;9;4;2
40000;10;4;2;11;5;3
45000;14;5;2;10;4;2
50000;12;5;1;11;3;1
55000;11;2;3;12;3;3
60000;13;5;3;12;5;3
65000;14;5;3;13;5;3
70000;14;5;3;15;5;3
75000;23;7;3;17;6;3
80000;22;6;3;17;6;3
85000;17;8;3;17;8;3
90000;25;9;3;18;8;1
95000;26;8;3;19;8;4
100000;19;10;3;21;8;5
105000;22;8;3;23;10;4
110000;22;10;5;24;8;5
115000;23;10;6;24;10;5
120000;33;10;6;25;13;6
125000;32;13;8;29;10;6
130000;29;11;5;29;12;8
135000;36;15;7;33;15;8
140000;34;13;8;33;15;6
145000;30;14;13;34;12;6
150000;38;13;8;33;15;6
155000;41;15;6;37;13;8
160000;36;12;8;35;15;10
165000;42;14;8;39;25;6
170000;36;16;6;37;17;14
175000;48;17;8;39;17;8
180000;40;15;8;41;16;6
185000;37;15;7;42;17;8
190000;52;18;7;42;18;8
195000;54;18;6;44;17;10
200000;49;19;10;42;19;8
205000;52;20;10;46;20;10
210000;54;16;10;47;18;8
215000;53;20;10;48;20;10
220000;48;19;10;51;20;9
225000;47;21;11;48;20;7
230000;47;20;10;54;22;11
235000;54;23;11;52;21;10
240000;60;21;12;54;23;12
245000;64;28;13;70;24;11
250000;63;23;12;59;23;10
255000;59;23;10;59;24;12
260000;62;25;13;63;24;12
265000;63;24;13;59;25;13
270000;70;24;13;62;23;13
275000;69;25;13;63;26;12
280000;70;23;15;68;26;13
285000;78;27;14;68;27;12
290000;71;28;15;67;30;13
295000;74;25;13;68;27;14
300000;79;35;17;71;28;13
305000;77;29;13;68;29;15
310000;71;30;12;79;30;15
315000;81;30;14;73;31;15
320000;80;32;18;83;28;14
325000;80;32;15;76;32;15
330000;85;31;16;78;31;17
335000;80;32;17;77;31;16
340000;87;34;20;79;32;15
345000;83;32;15;80;32;16
350000;88;34;18;81;34;16
355000;96;34;17;82;34;18
360000;87;33;18;88;35;17
365000;87;35;18;82;34;17
370000;83;36;16;82;33;16
375000;87;35;20;88;35;20
380000;94;36;20;91;37;16
385000;90;35;21;88;37;15
390000;103;38;19;94;37;20
395000;102;38;19;91;37;19
400000;98;36;20;89;37;18
405000;105;41;16;97;39;19
410000;101;37;22;97;38;21
415000;103;41;15;106;40;20
420000;103;46;19;99;39;22
425000;107;40;20;95;37;20
430000;104;41;20;98;41;20
435000;107;43;22;111;42;20
440000;111;42;20;113;45;23
445000;119;47;22;101;44;21
450000;110;44;22;114;52;23
455000;118;45;23;112;44;22
460000;113;45;22;117;45;23
465000;124;44;27;119;41;22
470000;112;45;21;104;52;22
475000;123;47;23;121;45;23
480000;122;48;22;109;52;24
485000;124;47;25;116;49;27
490000;113;51;25;122;58;25
495000;119;50;23;119;55;22
500000;113;51;25;125;47;24
505000;124;51;28;121;50;26
510000;123;51;25;118;58;25
515000;127;53;26;128;51;24
520000;131;51;28;135;50;25
525000;140;49;25;124;50;24
530000;125;48;26;122;54;25
535000;127;51;25;131;51;27
540000;145;55;26;130;50;26
545000;148;54;27;129;55;27
550000;143;57;32;135;53;25
555000;134;55;28;129;54;28
560000;142;56;30;159;66;27
565000;147;57;29;130;54;28
570000;143;58;30;135;56;28
575000;141;56;30;136;65;28
580000;143;59;30;147;56;29
585000;153;57;28;139;56;29
590000;162;59;28;143;55;30
595000;147;59;26;159;61;30
600000;142;58;29;143;58;30
605000;152;64;32;144;63;30
610000;145;59;29;146;56;30
615000;158;62;31;143;60;30
620000;159;60;30;143;59;30
625000;163;63;29;154;58;30
630000;156;60;33;176;92;40
635000;194;65;30;162;62;30
640000;168;68;32;149;65;32
645000;162;65;30;159;67;33
650000;160;67;31;167;65;33
655000;152;73;32;162;66;28
660000;169;72;37;174;66;32
665000;165;81;31;152;65;31
670000;167;72;32;171;68;30
675000;165;69;34;164;68;32
680000;163;72;39;157;64;42
685000;181;67;34;159;69;36
690000;182;67;32;174;66;33
695000;175;70;34;177;69;37
700000;179;71;35;180;70;33
705000;174;69;34;179;77;33
710000;171;88;34;181;83;34
715000;175;71;36;192;72;46
720000;179;73;38;177;75;35
725000;176;69;44;176;73;35
730000;179;78;40;178;74;35
735000;190;72;37;183;72;37
740000;197;84;39;201;92;38
745000;238;78;39;183;76;38
750000;181;76;39;200;78;37
755000;202;104;39;191;84;37
760000;195;82;40;190;75;37
765000;187;78;40;190;78;47
770000;193;74;40;201;81;38
775000;208;72;40;199;78;39
780000;200;90;43;194;80;41
785000;198;89;39;231;85;39
790000;210;80;40;201;79;41
795000;201;76;39;209;82;40
800000;198;86;41;208;83;39
805000;204;84;44;206;84;40
810000;227;81;43;209;81;41
815000;217;81;40;214;83;40
820000;208;85;43;206;85;50
825000;221;84;41;208;87;41
830000;223;84;40;202;92;44
835000;219;82;45;212;82;42
840000;269;124;52;233;114;54
845000;274;112;48;239;101;44
850000;243;106;52;207;87;41
855000;225;86;41;228;84;40
860000;217;84;40;209;92;43
865000;210;87;44;222;89;43
870000;225;98;47;207;82;45
875000;222;88;45;227;87;45
880000;219;88;47;209;93;45
885000;228;88;45;233;90;44
890000;222;89;45;218;101;47
895000;227;90;45;220;92;46
900000;249;95;54;258;94;46
905000;240;93;49;250;91;46
910000;227;93;49;232;94;46
915000;239;100;47;241;94;47
920000;245;93;44;239;104;45
925000;233;104;48;231;99;49
930000;251;97;50;248;96;50
935000;240;103;47;229;100;49
940000;256;108;50;246;110;48
945000;241;97;46;232;104;46
950000;250;96;50;263;94;48
955000;256;95;53;236;99;46
960000;262;96;50;250;97;46
965000;252;98;50;252;96;50
970000;263;99;50;251;96;45
