size;HSr;MSr;QSr;HSc;MSc;QSc
5000;1;0;0;0;0;0
10000;3;0;3;0;0;0
15000;0;3;0;3;0;0
20000;4;3;3;0;0;0
25000;3;3;4;0;0;3
30000;6;3;3;0;4;0
35000;6;6;3;0;3;1
40000;6;0;6;0;1;3
45000;9;3;4;0;3;3
50000;10;3;3;0;3;0
55000;10;6;6;1;2;2
60000;12;7;6;0;4;2
65000;12;8;4;0;4;2
70000;16;6;6;2;4;2
75000;16;10;5;1;4;3
80000;15;10;5;0;4;4
85000;16;12;10;0;6;4
90000;20;12;10;0;6;4
95000;20;13;10;1;5;4
100000;20;14;11;0;6;4
105000;22;13;10;2;6;4
110000;22;14;13;0;4;6
115000;26;12;12;2;6;5
120000;28;16;12;0;8;2
125000;26;16;10;1;6;6
130000;30;17;12;2;8;5
135000;30;20;12;0;8;6
140000;30;15;14;2;8;6
145000;30;20;17;0;9;5
150000;32;20;15;2;8;6
155000;33;20;14;2;9;6
160000;34;20;16;0;10;8
165000;36;20;15;2;10;6
170000;35;22;20;2;10;6
175000;41;20;20;0;10;6
180000;37;23;19;2;12;8
185000;41;24;18;2;12;8
190000;43;22;18;2;12;8
195000;44;26;20;2;12;8
200000;45;26;20;2;12;8
205000;47;29;22;2;13;8
210000;41;27;20;3;12;10
215000;45;28;23;2;14;9
220000;48;30;21;2;14;10
225000;51;30;22;3;14;10
230000;51;30;24;3;13;10
235000;53;30;24;0;14;10
240000;54;32;25;4;14;12
245000;56;33;24;3;14;10
250000;60;34;28;2;16;10
255000;61;34;30;2;16;12
260000;61;36;26;2;16;11
265000;68;37;30;4;16;12
270000;61;34;28;2;18;12
275000;63;37;28;2;18;12
280000;65;32;28;4;18;12
285000;66;40;32;2;18;13
290000;71;40;30;2;20;12
295000;71;37;31;2;20;12
300000;69;40;30;0;18;13
305000;73;41;34;2;20;14
310000;73;41;32;2;20;14
315000;72;42;34;3;20;14
320000;74;44;32;4;22;14
325000;76;42;32;3;20;14
330000;79;43;35;3;22;14
335000;81;46;31;4;22;14
340000;81;40;30;4;20;15
345000;83;43;32;4;22;16
350000;83;48;40;4;22;16
355000;83;47;41;4;24;16
360000;89;50;37;2;21;16
365000;87;56;40;4;24;18
370000;92;51;41;6;26;18
375000;89;51;39;2;26;18
380000;93;51;37;4;25;18
385000;94;56;41;3;26;17
390000;93;52;40;4;26;18
395000;94;57;45;5;25;18
400000;93;53;44;4;24;18
405000;97;52;43;3;27;18
410000;98;58;42;2;26;19
415000;101;57;43;5;26;18
420000;101;58;40;4;29;17
425000;102;59;41;4;28;20
430000;104;59;51;3;28;20
435000;102;59;50;4;29;18
440000;105;61;49;2;30;20
445000;107;61;47;4;30;20
450000;110;63;48;4;30;20
455000;110;62;47;6;30;20
460000;114;63;49;4;30;22
465000;113;64;49;4;30;22
470000;112;67;49;4;32;22
475000;112;68;49;4;32;22
480000;119;68;51;4;32;21
485000;120;67;51;2;32;22
490000;122;66;52;4;31;22
495000;119;69;54;4;34;23
500000;122;69;52;4;32;22
505000;123;68;51;4;31;24
510000;127;70;53;4;34;24
515000;127;73;60;4;34;24
520000;128;71;60;4;35;24
525000;129;73;52;4;36;25
530000;133;74;58;5;34;21
535000;131;72;57;5;34;24
540000;140;74;55;6;36;25
545000;133;75;57;6;38;24
550000;137;73;57;4;38;24
555000;139;75;58;6;37;26
560000;140;77;58;5;36;26
565000;140;76;63;5;40;28
570000;153;80;58;6;35;26
575000;148;81;60;6;40;27
580000;144;83;61;7;40;28
585000;147;78;61;6;38;27
590000;147;81;63;7;37;27
595000;148;84;61;6;39;28
600000;153;83;61;7;41;28
605000;152;85;62;8;42;28
610000;153;86;62;5;41;27
615000;157;86;65;6;42;28
620000;164;88;65;6;44;30
625000;159;87;65;5;44;25
630000;159;87;67;8;43;30
635000;163;88;67;4;44;30
640000;162;91;69;6;44;30
645000;164;90;66;8;43;30
650000;165;90;68;6;43;25
655000;166;89;70;6;46;30
660000;168;92;69;7;46;30
665000;171;93;70;5;46;30
670000;169;92;70;4;46;30
675000;175;95;69;8;45;32
680000;175;97;71;8;46;32
685000;176;94;71;6;47;32
690000;176;96;71;8;45;32
695000;178;98;75;8;47;34
700000;182;97;75;7;47;32
705000;182;100;75;8;49;34
710000;182;101;75;6;48;33
715000;185;101;78;8;50;35
720000;184;102;75;7;49;34
725000;188;113;75;8;47;34
730000;188;106;75;8;52;34
735000;188;104;76;6;51;34
740000;192;103;79;8;50;34
745000;192;103;78;8;53;34
750000;197;108;80;8;53;38
755000;202;108;79;6;53;36
760000;197;108;78;7;51;35
765000;200;108;82;9;53;38
770000;201;110;82;7;52;35
775000;202;110;82;6;52;39
780000;203;110;82;8;55;38
785000;203;110;85;6;54;38
790000;210;110;84;6;53;38
795000;206;114;82;8;56;37
800000;208;112;86;7;56;38
805000;210;115;85;6;56;38
810000;212;112;85;10;54;40
815000;213;115;87;10;60;40
820000;222;119;90;9;58;35
825000;216;117;88;9;57;40
830000;217;118;87;9;57;39
835000;221;119;88;6;59;40
840000;220;121;90;5;59;40
845000;224;118;91;5;60;40
850000;224;121;101;8;64;40
855000;224;122;91;7;61;40
860000;229;122;95;8;60;42
865000;229;124;92;9;56;42
870000;230;124;92;10;61;40
875000;230;123;90;10;62;40
880000;231;127;92;8;61;41
885000;232;127;92;10;61;43
890000;235;124;92;10;61;43
895000;236;125;94;10;67;45
900000;239;128;95;10;61;43
905000;238;131;97;10;66;44
910000;242;128;96;10;63;43
915000;241;130;97;8;64;43
920000;244;130;98;10;65;44
925000;244;132;98;5;67;41
930000;247;131;95;8;65;48
935000;247;133;99;10;67;44
940000;246;134;100;9;65;45
945000;250;133;102;10;63;48
950000;255;133;97;9;65;46
955000;252;135;102;10;68;46
