vertices;edges;max_edges;time;avg_time
250;18675;31125;0;0
500;74850;124750;0;0
750;168525;280875;0;0
1000;299700;499500;16;3.2032e-005
1250;468375;780625;16;2.04964e-005
1500;674550;1124250;31;2.75739e-005
1750;918225;1530375;47;3.07114e-005
2000;1199400;1999000;47;2.35118e-005
2250;1518075;2530125;63;2.49e-005
2500;1874250;3123750;63;2.01681e-005
2750;2267925;3779875;94;2.48685e-005
3000;2699100;4498500;109;2.42303e-005
3250;3167775;5279625;109;2.06454e-005
3500;3673950;6123250;141;2.3027e-005
3750;4217625;7029375;157;2.23348e-005
4000;4798800;7998000;172;2.15054e-005
4250;5417475;9029125;203;2.24828e-005
4500;6073650;10122750;234;2.31162e-005
4750;6767325;11278875;251;2.2254e-005
5000;7498500;12497500;282;2.25645e-005
