vertices;edges;max_edges;time;avg_time
250;18675;31125;0;0
500;74850;124750;63;0.00050501
750;168525;280875;126;0.000448598
1000;299700;499500;203;0.000406406
1250;468375;780625;313;0.000400961
1500;674550;1124250;437;0.000388704
1750;918225;1530375;594;0.00038814
2000;1199400;1999000;781;0.000390695
2250;1518075;2530125;1016;0.000401561
2500;1874250;3123750;1234;0.000395038
2750;2267925;3779875;1500;0.000396839
3000;2699100;4498500;1782;0.000396132
3250;3167775;5279625;2094;0.000396619
3500;3673950;6123250;2484;0.000405667
3750;4217625;7029375;2828;0.000402312
4000;4798800;7998000;3234;0.000404351
4250;5417475;9029125;3766;0.000417095
4500;6073650;10122750;4109;0.000405917
4750;6767325;11278875;4641;0.000411477
5000;7498500;12497500;5125;0.000410082
