vertices;edges;max_edges;time;avg_time
250;18675;31125;0;0
500;74850;124750;15;0.00012024
750;168525;280875;47;0.000167334
1000;299700;499500;78;0.000156156
1250;468375;780625;125;0.000160128
1500;674550;1124250;172;0.000152991
1750;918225;1530375;235;0.000153557
2000;1199400;1999000;313;0.000156578
2250;1518075;2530125;406;0.000160466
2500;1874250;3123750;500;0.000160064
2750;2267925;3779875;609;0.000161116
3000;2699100;4498500;734;0.000163165
3250;3167775;5279625;860;0.00016289
3500;3673950;6123250;1015;0.000165762
3750;4217625;7029375;1156;0.000164453
4000;4798800;7998000;1328;0.000166042
4250;5417475;9029125;1500;0.000166129
4500;6073650;10122750;1688;0.000166753
4750;6767325;11278875;1890;0.00016757
5000;7498500;12497500;2094;0.000167554
