vertices;edges;time_of_trial;avg_time;time_of_kahn_trial;avg_kahn_time
250;18750;4;0.4;1;0.1
500;75000;10;1;1;0.1
750;168750;32;3.2;1;0.1
1000;300000;34;3.4;0;0
1250;468750;52;5.2;18;1.8
1500;675000;71;7.1;18;1.8
1750;918750;99;9.9;17;1.7
2000;1200000;112;11.2;30;3
2250;1518750;163;16.3;34;3.4
2500;1875000;188;18.8;33;3.3
2750;2268750;213;21.3;47;4.7
3000;2700000;267;26.7;57;5.7
3250;3168750;332;33.2;82;8.2
3500;3675000;358;35.8;80;8
3750;4218750;437;43.7;96;9.6
4000;4800000;464;46.4;108;10.8
4250;5418750;546;54.6;125;12.5
4500;6075000;597;59.7;143;14.3
4750;6768750;663;66.3;168;16.8
5000;7500000;734;73.4;224;22.4
